0---C4C9H4H7CK;C3H6D3S9D8
2814---D3CQS7DAC3;S4DQHAH5DJ
2818---DKH10H6D2D6;HJS8H4D8D5
2822---D8S8C4H8S10;HJH2HKC6SQ
2825---C10D5DJCJS6;S3D8H2DQH4
2826---S9D9C3D2SK;DJC7H9CQH4
2828---H7C10S8D2D6;C7D7H3C8HJ
2831---D9HQD3CJC9;C5D7CAS4DJ
2832---CJSQHKSKH3;C10CQC9C8S2
2833---HJD6DJD7S5;D8CJCAD9HK
2835---H9H8SKS5DK;HQHJD9S9C2
2837---S9CQCJS4D9;D3H7D5S7HJ
2838---D7C2S5H10C6;D10SKHAC8S7
2841---S6HKD10D2C7;S3D9D5H10S2
2842---C3S9D2D6D4;H2H7CACJC8
2845---H7DQCAC6C5;D7HQS3D9H8
2846---H10H7H2S9S5;S6C8H4H3DA
2855---D3H8S4D8C10;S2CKHKH4S8
2856---C5CJDKD6SQ;DAS5HJSJS9
2857---C7H2H5DKHQ;C3C8CAS4D3
2858---HKH5D4C2H2;C10SQCKC5C9
2860---CKCAC4S8C10;S4HQSQSKC6
2863---HASKHKH3CK;S10CQCJD7C3
2865---C9H2H4S8DK;D7C5C10C8S4
2866---D6H8D8C8C3;H7DAHAD4SK
2872---S4H3S2DQHK;HAS6CQH7C7
2875---SQS6H8S7D3;HJC4D7D9SK
2879---H3DAHQCQC8;C6D2S3D8DJ
2880---SKCQD2C3C2;D8C8CAS2HQ
2881---S3C4S2DJH9;H7C3C8CJHJ
2885---D10S8D5CKD4;HKC2D8S10D9
2886---SJC5C3H6S3;D10C2H8C6S5
2892---S5D2D6HKCQ;D10HJHQDQH6
2897---SQH8C6D8SJ;S6CKH6H4S4
2898---S5HQD9S4D3;S7S2H10S9H2
2900---SKDJD5H7D7;HQHAS7D3CK
2902---C6C10SKS4S3;D6S9D2H2H6
2903---C3SJDJD3H2;H10C5C4D5D7
2904---DJD9C8H8S10;D3C9C4HJC3
2907---H9HAHQS9H6;H7S8CKH10D3
2908---H2D6D2HQHK;CQS3C7SJS10
2912---C10C7D2H7CQ;DQHASQCKCA
2914---HJD5S6S5H2;CASKDQC8S10
2916---HAD6D4C5C8;SJD5DQS3DJ
2917---SKD4D8C6D3;DJD2C4D6C3
2922---H2DQS10D6D7;C10H4S6D10H9
2923---H6HAS7H10D9;S8C9DJC5CA
2931---DQHQH8D9H6;S9S3H3S8HA
2935---CJD8S5HKC4;D6S10S2C8D3
2937---H3D7C10S6HK;S10C9D6CQCA
2938---H5C5HAD10HJ;H6DQD9C6CA
2939---H5S3S6D3D10;D5C2D4S8CQ
2940---C8S5CQC5C3;D5SJC7S6H7
2941---S5D7DKS2H10;C2CAHQC7DJ
2944---H5SQCQH7DA;C6DJH8D6D9
2945---S8CAS3DQCQ;HKS6H6CKC3
2946---D5HQC7HAHK;HJCJS4D6H6
2950---D9H10CJH9S7;D4H6S9D2C2
2954---H6H8C8D9H9;S6D6S9C2S5
2955---S3H6CADJH2;C10SQS8S4DQ
2959---S10D3D7H5H6;H7C2DKHAH8
2962---C8H10CJHAS4;DQC3D10S9SK
2965---SJH10D6H8H3;C7S9C3HQH5
2966---DAS2S3DJD4;S9CKDQD6D10
2967---C2D8C5D6H10;S6C10CKHKD4
2970---C9DAS2CAS5;SQD6DJCKDQ
2971---H4D4H7C8CJ;S8S4CQC10S3
2972---H5H3D10D4S10;D2C9H4C8CJ
2973---SKC10H3C9C4;H10S9D9CQHK
2981---H2DJD7H5H4;C4C3D10HKC7
2983---C10HKC9H9SQ;CKHQH3S9D7
2984---H6C6DJH3H5;CADKC3D10HJ
2988---H4S5DKH9DJ;C9S10H5C4S7
2995---C6D7H7HQC4;S10H5DAS2C8
2996---H3D10H9DAH8;C8C3H6S4D6
2997---D9D8S9C7S3;C9D4DQDAS5
2999---D3C10S9DAS10;HQCQD10S5CK
3000---C4S2HQD2D7;D4C6H2CKSJ
3001---D7S2H2D3D9;SKS5C2D2S8
3002---C3H5S4H2H9;CKS5H10HKCJ
3004---S4S6C10D10H5;H2D5S2C6C2
3005---C4C6C5D4D5;H9HKH5S10S7
3009---CKC8D7SJDJ;S6H5H2H7C7
3014---H8C3H2C8S2;D5D6S8H10C5
3017---S8D9H9HJS10;C4S4DQH10DK
3021---D10C10D3CQS3;C8HQH7H5D9
3024---C10DAS3H2S8;C3S7D9C6HJ
3029---DJD3C2D4DQ;D8H5DAC8H4
3030---CADASQSJD3;S7C10H3S9D10
3033---C10DQD4S7DA;C7H9D10SJS4
3034---S9SKCAHQS2;SQH4D7S7S6
3037---HACJS3CAS4;H3C3H8D2DA
3038---S7HKS4H3H8;S2CQS8SKS6
3046---H3C5S3H9H5;C10C2S6C7SJ
3054---HJSQC8DKH3;H2D7HQS8CQ
3055---SQC7S2SJS7;HJS3DJHQS6
3057---DJHQCADQSQ;D5DAD4SJC2
3059---H3H8C4SKD6;C9S3CQD8HJ
3060---DKH8C10C6H5;D3D9D8H6C2
3064---H8S6H10S7H9;S10C9D10S8D7
3065---H2C4S8CAC10;HACKC6D3SJ
3066---D3H4S4DQC8;HQH7HJSKD7
3067---C5S7S6C2S5;CQHAD2S4D9
3068---H2S9C3SJH10;S2D4H5HJC5
3069---S6D9H2D3C2;S5CAS9C5SJ
3070---H4D8HADAH3;H5D6SQHQH9
3071---DQC6D4D3SQ;H4H5CQHAS5
3076---S5DJC3HJD4;D7D10H8C10D6
3077---S6D10SQC5CQ;D6C2C7HJH8
3078---C6D3H4D7S8;CJD10S9C2SK
3079---SJCQC9D6D2;C2HKS2H7H6
3080---H8S10C6D4D5;SJS8S7DQC3
3082---C8D4H2H3HA;S9S3H8C7C2
3085---S10HQH3DJH10;S8C5D6C7S9
3087---D8HQS7DQC6;D10S2S3D5D7
3089---C2D4D5C9HJ;S8S10C3SJH7
3090---CKS5DKD8D10;SKH3H6DAD9
3092---S10H8DQC4HQ;D8HJS3D6D9
3097---H3S9C6CKD6;H8H7S7CJH10
3098---D3H3D9H5HA;D6S5C3S7C10
3101---CJHKSKH8C5;H6HQSJCAD9
3103---D4DAC4S4D7;D9HJH9H7HQ
3104---H2S4H6C3CQ;S7C5S9SKD5
3105---HJC6D10H7D2;S9CKDAS10S2
3106---H3S2S9SKS3;C9H2S6S10D6
3114---D9S5C6C10D4;S4S3D6HQH2
3119---D10C7SKS4H7;HJH10D5DAD6
3130---H5S2C7D9C6;SQCJC9D10S10
3131---C6D4S5S8D3;S10H2SKS2DA
3132---D10S9H3CAS8;D9S4H7HKD5
3133---D6C8SJCQCA;S3H10H5H6D5
3134---C8S7S3D3S8;D2H6S5S2C2
3136---CKDJH7C8D9;SKH5DQH9H3
3138---HAD8S8HKHQ;D3C2D10S9H3
3140---C2D9S6S8D4;H9HQD2S10C42
3141---H5S4CJH3H9;S9SQCAC9DJ
3145---D2S2CKH4S5;CJSKC5S10DQ
3146---S10C7C2D2D7;HJS5H8H5D10
3147---C6CJH9SQH2;S9H5DAH6C8
3150---D4S7D5C10SK;H3HKH8C6CA
3152---C5CASKH4HA;S10D2D9CQHK
3162---HADAD7H9H8;C6CKH4S7HJ
3166---C4D4S6C2C7;S3H10C8S9DK
3167---DAH6D5H3D10;C5HKCJSJHJ
3168---HQC8SJS3DQ;D6H5S7S2H7
3169---HKH10H9H5D4;CJH4C10C2SK
3171---C7H3S8S7H4;H2S5SQD5SJ
3174---DJD10D5D2S6;D6D9D4C5H2
3180---SJSKH4S7D4;SQH9C9H3HQ
3184---H2CQH7D10H5;C5SJDJD9HA
3185---D9S7D2CQH10;S9C2C9CAH9
3189---C4D7S6D9C7;DKS2D3C8C10
3195---H7S9H5D6H9;S2C10SKS5CQ
3199---C3H10S2SJS6;D9C10HACKHJ
3200---D9D3H3SQDQ;D2HJDJC10D4
3201---DJS3HACKD4;D7H3C4CAS2
3203---D9S5HKS4D7;H10HJS2CQS6
3204---H2C7S6DQH8;H5D7H6D8D4
3207---C7HKS5S8C2;D2H8C5S3C9
3208---DQH5S7CAC6;D7S2C2S3DJ
3211---C4H6C8D6SQ;DAC7S9C6H4
3214---S4C10H6S10D2;C3D3CKD4D7
3215---SKH7H6C2C6;H4D2H5D5DJ
3216---DKCQH7S10DJ;S9S6HJD9D4
3217---CAS4C9C4C3;D5DQDJD4S5
3221---C9C4HQH8CQ;H4S8HAD5DJ
3222---H7H9C6D5C5;HQD9C7HASQ
3224---CAC10D3CQS3;D9H9SJHQC8
3225---D6C10C6D2DA;CJC7SJHJH7
3227---H4H2CAC3DQ;D8H10CKD2S8
3230---CAC7S3D3D8;D2HKDAH7DQ
3232---C6S9C2D9S10;S3S4C7C10D5
3234---H9D4C2CJS3;D6D9H2C5S6
3236---HKD6D2CADJ;SKH9S3CKHJ
3240---HJS7C6H10CA;H3H7SJH9C2
3241---H6S6C6DAC2;SQC5SJH4HK
3242---D2D7S6S7D6;DJD5H9HAC3
3249---C8CJDQS10H3;SQCAD2HJS9
3252---DKHKH10S8C4;C7H7DAS7H2
3258---S4C8H3HJDJ;CJHKC3SQD8
3260---C5C8DJD6C3;S9S7S8C10H5
3261---H7H10DAC7C5;CJC9D3D4S3
3262---C7HKH3C2DA;H7HAS4H9S7
3265---D10CQDQSQC8;S8C3H9H10CJ
3267---H9DQH5C7HQ;H10D9DAD6DK
3270---D8CJH4D6H5;HQH6D5SJS4
3273---HKS4S5H8S9;CJD5H10SJD8
3281---C2D10HQS4S6;SKS7D5DJS8
3282---D6C9S7H4D8;SKCQH3D4D3
3283---DKD3S3HQS6;D10H4D4C4S4
3286---DKDQC2S10CJ;H5SKSQC5C4
3289---C8S8H5H3HQ;SJS5CQS9H4
3291---D8H6DQSQD4;C6DKH3DAC9
3292---C5DQH3H7D10;SKC3H10S6C7
3293---S7C2H6H3C8;S9HQH10D9DA
3299---SQD9HADADJ;S2D2C8S10C2
3301---D4CQH4C10CA;D5C8SKS2D3
3303---S9H4S8C6S10;H8C10C3D9HK
3305---CKD8CAH3S3;HKD2C8H8SK
3309---D2H3D7D10H6;H4C10SJHAH5
3311---C10H9D7SKD10;C9S9HQD5C6
3313---CKCJH9D6S9;H5D4H8DJC2
3314---C4CQC9H10H4;HJCJS7H6H3
3316---SJCQH5H4D5;S9CKH7C2D8
3318---C3SJCAC8D5;SQD7H10D6H6
3320---D3S3HQS2S6;C5D9S8C10D10
3324---SKH7H10S5C10;DQC4C9H3S3
3325---H5S8SJH6CK;SQS9H8H3H7
3326---DAH4CQC8D8;H8C2D7SKS5
3327---CADJS10D2D10;D6H8S7S2C10
3334---C7S2C2D7HQ;H3S5C5CASJ
3338---DQH3S6S3C9;S7S2S8HQD6
3339---DAC3C4S10S2;S5HQD10C5DQ
3342---H7HJC7H4S4;SKS5DQC9HK
3344---D2S8H3D6C4;C10HQD10DJH7
3345---H3SJSKD9C3;H5D7C9S7D6
3346---H3D3S10D10D9;CKD6D5S5D8
3347---C6S2D8CKS10;H8D9CQD3C9
3349---H4SJC5H9H5;HQS4SKDQHK
3350---D5D8HQC7S3;S5H4DKCJHA
3351---H6D8C5H4DQ;CJSQHKC9C4
3353---D4H10S9S2HQ;HJS7D5DQH2
3354---C5D8CJC9D4;H6DJC4H8S10
3362---H8SKH3D9D3;HJD8C2D5S2
3363---S7CJC8CASK;CKC6H5H10S4
3365---CAS9DJD6C6;H7C10H8S2SQ
3374---S5H7S10SJHQ;S9C4H8DQS3
3375---H2DKH9H6S2;D10CAS4D5SK
3376---HKCAHQD2CQ;C5SKC3S10CJ
3377---H10S5D3C8D6;H4S10CJH9SQ
3380---D8H8S5H2H9;D2S2S8C8HK
3381---D3D2S8SKS2;D7H7SQD6D10
3385---H7S3S9D4DA;S4S6H9D5C2
3388---D10D2C5C10S9;DJH2S2D3H4
3390---D2S2C2D8H5;H3H4S9HQHA
3393---C8D9S8S2C2;D6DJC5SQCQ
3394---DJC7C3CJS3;HKDAHQC9S5
3396---D5D8H8SQS9;S6C9H10DQD3
3401---SKCJC3S9D3;S6HJC8CKH4
3402---CJH9SKH8D8;S5S9C5HAH10
3403---H9C7CJSJHQ;S10H6S2S5H3
3404---CADAHJSJHA;SKH7S8S10DJ
3405---SKD8D5S6HA;D3H2C8DQHJ
3407---C4H9D10S2SJ;C3C7H5C6C8
3408---S7DJD10H8D8;SKC5C2C4SQ
3410---D4H9C10D9H4;C5CAS3S9H2
