4---C9D7D9S7D2;HAC5S8D8C10
2787---HKC2SJC6HQ;S4CJS10D4S8
2788---D9S6H2CQC8;H8DQC10DJH4
2790---DKD3H8HAHQ;D4DQH5C4H4
2795---S4H2C4C8SK;C5S6H7S2DJ
2796---H7H9D8HJHK;DAH4H6S2C6
2803---H10SQS9C7CJ;H4H6C9H8D7
2805---CQCAH7C5S7;S2H3DKH9D4
2806---HQS2CASKH8;C5C7CJH10C9
2807---CQS10D3S7C8;D6DKC5H3H10
2808---D4C9S8C3CJ;DJH6S6H8S3
2816---SKS10S4H3DK;CKS6CQS5SQ
2817---SJD2D10S3HQ;HJSQH8C3S8
2819---S4C8DQSQS2;CJDAD2C10DJ
2820---S8DKH4C8SK;C5H7DAD2H3
2829---C10SJSKS6C3;C8CAH9S4H6
2830---DJDAH6H8C6;D2S8H10S7C4
2836---D4S6C3HQH6;S7S3H4HJC2
2843---D9DQH3DKH8;D10C6S4DACQ
2848---D2S5H2C10C6;S9S8D5S7H3
2850---H2D8C7CQHJ;C9S3SJS4C8
2851---SQS8C3S2D9;C10H2H5S6DK
2852---D3S2H6D4S5;C8C2SQC7D7
2853---H10HAD4C4C5;S4H2S8SKDK
2854---C9D7S7S10HA;CJH7C7DQD5
2861---DJD10D8S2CJ;D7C8CKHQDK
2862---S4D2H4H2CJ;H9D9DKH8HQ
2867---HKC10S10H10C6;S9S8HJSKC7
2868---D2DADKCKH7;S2H9S8CJC5
2869---S3DJD10D2D8;H9C2SJH5H7
2870---HKDQH2HQDA;S6C8SJD10S7
2871---DQH9S9S4H6;C10CJC7C3D4
2873---HQC3SKD3SQ;S3SJHKD4D5
2874---H9DKC6DQH7;S4CKD4H8C3
2878---CAHKC4DAD9;CQH6HQCJC7
2882---C10C4CJD6SQ;H6HKHAS10CA
2883---S7C7H4C9H2;D2C8CKS9S2
2884---H3C2H4C6C5;H9S3S9CKS10
2887---H2H9H6HQS9;C5C4SJS6C10
2889---D9DAHJD2S7;H8C2H5C6H6
2890---CQD4C4HJD6;DACKH3H4C10
2896---CAH9H3CJD4;H8S2CQHASK
2899---S10H10S8S3CA;D7H2SQHQH9
2901---H3HKS9DJS8;C7CQS6DKS2
2905---C3D4CJS10H3;SQDQD7DKH8
2906---H3H5C9H2C4;HKS2HQD5S7
2910---C9CJS4C10D3;S5S3H6CQC6
2913---C4H3S2HAC5;D6H8H2H7S3
2918---SJH10S10H3SK;DAD6H6HAHJ
2919---HQSQS6H10D3;H5DAHKH6DQ
2920---C3C10C7DAS7;HAC4H2DQCK
2921---C3D8HAD6H5;S2H10S9S5D4
2924---S2CAH6C2H8;C4CQSQH5C8
2925---H10DKC5HAC10;D10D6DQCKH6
2926---D3DAD7D9CK;HKS3D6H6C3
2927---CQC5C8SQDJ;H6C7HAD8CJ
2933---DAD4S10D10C5;D7C3C2CASQ
2934---S8D3H9HJDQ;D7H5DJS6S9
2936---S6CACQC3H10;S4C7SQD3D10
2942---D2H8HJC4DJ;H7H5CAC9D7
2947---HQH7C5D3CQ;CJS2DADQSK
2948---C4S4S10C6D2;H3DJDASQH10
2949---DQH7C6H4H9;S6S2DKH5SJ
2952---C10C7H2D7C5;S5D4C8CQSJ
2956---DKHQS2CAHJ;H8D3SJCQC4
2957---S5SJD2DJSQ;H9C7D10D4H4
2958---C2CJS4HKH8;DQS5S6D6H10
2960---C2D7S9CQC3;C7D2SQD6C10
2961---H9CQS8D9S2;CKS7S9SKS10
2963---DAC2C6D9CJ;SQH4C4H7H8
2964---S2D9S7S4S3;D4CJD3S6HQ
2968---D10D6S4H10HK;SJS6S5CQD4
2974---C4H5H4S2HK;H6SKD8S3H8
2975---CQC9CKC8H3;DKDJH10H6C5
2976---D6C10DQS10D3;C9HJDKSJH7
2977---H9H4S10H10CQ;D2S3SJD4HK
2978---C6DQC7C9D7;SQD10H9C2CA
2987---C8D8CKSJSQ;HJS9S2DKS6
2990---D7HKH4DAS6;H5H10S8S3C9
2991---HQH10C10H4D4;CQS10C9DQD5
2993---D8HKC4H8H5;DQCQD3S7CA
2994---S6DJCQS3HK;DQD2S8C6H9
2998---S3HKD3S9C3;C2D5CJC4D10
3003---CAD4SJC8H8;DQD8S3C3HK
3006---SJH6C10S9D5;C7D9C2CJC8
3010---D9HKS3D4C4;S8S10D8CQC6
3011---S2H9DJS8D9;H5S7HJHKH6
3012---SJDJCJCQD10;D7C10DQS2CK
3013---S8CJC8C5C9;C7H4D7C4S10
3015---S9C3H8S5C2;S10C4HKD9DQ
3018---C5H6D10SQD9;D4C4HJS7H10
3019---D7S10DQHQS6;S5SJCJC3D8
3020---H10HKH6CKCQ;DAD9C3H8H3
3023---D7S4H9HQD9;DJS10D10SQHA
3026---D3H7H6C6CJ;CAHADJH2H3
3032---H7S8D8CAS2;C6CKHJDJHQ
3035---H7S9DAD6HQ;S5DJS3HKH4
3036---S6S8SJH3S2;H4C6H10C7HK
3040---C3S9D7SKSJ;CAS2H8S8H10
3041---C3C5HJD3H8;DAD5C10H2CJ
3043---C8S10DKC3SJ;H7H9CJC9D10
3044---H2CQHQC4CJ;D8DKH3S10DJ
3045---S8S6C2D9C6;C9HKD3H9DJ
3047---HQC4SKD4D6;H9C9C10C5S10
3048---D5S5H2S7SQ;D3C7C3DKH4
3050---C5S5HQD8CK;D3H9S7SKC7
3051---S7S3S10S5D5;DAD6C6CKS2
3053---DQS4S7S9C4;DKC2SKHQSJ
3056---C6H2C7H8S7;DQDAS4C10S9
3058---C3HAS8D3C9;HKD9D2SJS5
3061---H3S2D7S10H6;H2D6H4C8H8
3062---C9S8S6C2S2;HQD6CKHJCQ
3083---DQCKD2D9S6;C5C10S7SQH6
3084---C6D8C9HKH8;D5S9HAH5D9
3088---DADKH9HAHK;S8H3D3CKC8
3091---C9H2S7D6SJ;H8D10H7H4D4
3093---H6C4S9H4C5;C6H9DJSKSJ
3094---DKHASKHJC2;S10C7S8S2C5
3095---S2D3DJH3C5;S4H8SKDQHK
3102---S9CKC7HJSK;C6DKD2C3C2
3109---SQH3CJC2S9;C5S2D7H7HJ
3111---C6C5DJHKC9;H10CQDQC8D8
3112---C5CJD2S8S10;CKC8S4H10D7
3113---C8H10C4S7SJ;H6D2C3SKC10
3115---S6DAS7C6S2;S9C8D9H9DK
3118---CKH7S10D7D6;S6S8CQD4C5
3120---D8C10CQCKS9;H3D7D3HAH8
3121---S4S9D5H10H6;DQH4D9S2CJ
3124---CAH8S2C10H9;D3CJS3DQS9
3125---D3S9H10D5D10;D2C5SQS4C9
3129---H6DAC3H5CK;H2HKHQH3H7
3137---DKDAHQS6C3;D8D9H5S5H7
3139---CQS2SQC9H6;H3H7C4D5S6
3142---S10D7HJD9D4;HQC3H8S2C10
3144---C4S10HJH7DJ;C5HQH10DAD8
3148---S6C4C7S9H7;HJH4S4S10D5
3149---S4C9CAS10C4;H3DQCQC10SQ
3151---H2H3CJC7H6;D2S6CQC8D5
3153---C8D9C3C5D10;HJD7HKC2D3
3154---D2S8CQC6S5;C7H9S10S9C10
3155---S10H5D4SQD9;CAS8C7CQS7
3156---S7S9HKD4S5;D10H10S3CJD8
3157---CQS9H2C9C8;HKH10SKCASJ
3158---D6HKS10H9DK;DAS6DJC5H3
3159---H5HAC8DJH2;C5CAH10H8H7
3160---CJS9H3HAC7;H6D7C2HQD2
3164---DQH8S9HKS2;H2C8SQCAS5
3165---SKH6S7CQCK;C7S5S10CAC9
3173---HJS6S3DJSK;C4H10HKS8CA
3176---H7CQCKH6D8;HAS7D5C6S5
3177---D5DKC8C7H10;SKD9C9D3SJ
3179---C8H7D5S3C3;S6DJCQH9DK
3181---S6H10D8S3H9;S10DQHAC3H8
3182---S9HQS7H3HK;C9DAD4S2DK
3186---C6S5C4C9D2;D3H4H7D9H9
3187---H3C10D3D5D4;C5DJH2HQDA
3188---C5S4S2S7C6;S3SQCKD8S6
3190---CQD7CJH5SQ;C10C8C5H9SK
3191---C10DKHADQC3;H4S5D2C9C8
3194---C7H2C3D8HA;C2C8S3CAD4
3196---S8S9D4H8CJ;SJH7CQH3C4
3197---DKDJS10C7D10;S9S4D6C5HA
3198---H3D10C7C3H8;H4S3HAHQD4
3205---CQS10HQHJDA;D10D3CKH2D2
3206---S3SKD3HKH4;C10D10D7S2C9
3209---C9HQD5H7D3;C6C10DKS6H2
3210---S7DAD9H3C10;D6HAH6CJSJ
3212---D6C9CAHQDQ;C5S10CQC3S5
3213---D10HAS5H9S10;HQS4SJC3D8
3219---H7HASJC9D4;H2HQS9C2DK
3220---D3H10D7HQS7;DJSQC9HAC2
3223---H3C6D6C9C5;H5S5HQDQH7
3228---H10DKSKC9HQ;CAS7CKS4DJ
3229---CJS4SQD8S8;H9S7H5D10DA
3231---DQCKH9D7C2;H4DKSJD5D3
3237---S9D3SQDACQ;D10D4H6S3S8
3238---S5S2CQH3DK;S6D4S4HQC2
3239---S2S7H7DASQ;C8H10S3CJD8
3244---D7S3H3SJC7;D8HKH9D2S5
3247---CKSKH8HACA;DAH10H4S10D6
3248---D10DQC2C5CK;SJDJH6HQSQ
3250---S4D7C2H4C3;SJDQSKD4DA
3255---C10H9HAD10HK;DKC7H8HJHQ
3257---H6H10C3S9D7;D5S8SKS4S10
3259---H5D10D5S4H8;H10C2C6H9CK
3263---H5S10D9C6C10;C5CQHQHKHJ
3264---D9C9DAH8DQ;H6S6CQHQC5
3266---C7H3S4D10S5;H8S3C9D5SJ
3271---H9CJH7S7S4;S6SKD9HJS8
3272---HJS6C10S8CK;C9D2H10C3S4
3284---H10CQHQH2HK;H3C10SQD8S3
3285---HQS7S3SJDA;S10H5CJC4H8
3287---SJH3SKD7D9;HKS7S5DKD10
3290---DKD4SJS2CQ;H3S3C10C6C2
3294---SJC8D3S9D10;SKS5C4H8DK
3296---C7C2C9D8CK;DQD7DKS8C10
3298---HKS4SQD7D6;S7DAD5D4C9
3302---S6D5D2DAD10;D3S8D6S10H5
3306---H7DQS7D2HQ;D4S8HAC3S4
3307---H10C10DKS5HK;DJS8H6D3H7
3310---H5S4C3C9H7;HAC2C8SKSJ
3319---D8D6SKD2SQ;D5S9D4S4H3
3323---D4DKS4C10H10;C8S3D6D10H6
3328---S4HAHQH3S7;D10D9D2CJH2
3332---DAC2S6S7C7;C5S3CACQHK
3333---CJHQD5SQH5;H3H9S7D7HK
3335---H10C8S3DAD7;S6CAH9S7DK
3343---C8S2D8HKC10;DQD6H7DAH6
3352---S4D9HQC9SJ;C4CKHJH9D5
3358---HAD10S6HKC3;C4CKD3C7SJ
3359---D6D3D10H8C6;S7S4CQC2D2
3361---D8H7H5HJDK;D3S5C6HKSJ
3364---HQDKC2DAC6;D2H2SJC10D4
3367---C8C9D7H5S9;C6C10CQD5H7
3368---S9C10S3H8HA;S10H6S8CQD8
3369---CJHJSQD10C5;D5C7H8DJC3
3372---C9HACJCQS10;SJDKH4H10S5
3378---C5C4S2H2S6;D8H7D3CAC7
3379---DKD8DAH10H6;C6S5D7DJD6
3382---H5DKS8DQC2;C7DAS7SQS9
3384---C4H8C5HAHJ;DAD2D4S9CK
3386---S7CJC2D2D8;C9CKH6S10DQ
3387---D5DQCKSQD4;DKDAD8HKH5
3389---H3DQDACKH6;H9H7C7D7S5
3391---H5H9DQHAD5;H10D10S5S6C5
3397---C5D5S10CQD10;HJCKHKS7DJ
3398---C10SJS10C4D7;HAD3S9C5H5
3399---H2CAH5S7D7;C8DAD8CQH3
3400---D6D8H7CAH3;S8C5C4HQCQ
3406---H9S8DAD4HK;CJD5HAH6DJ
3409---C6C5CJC9D10;S4S10H3CKHJ
3411---H5SKDQS5HJ;H8S9CQHKS8
